Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
BMW,X5,2015,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$959,Hard
Ford,F-150,2015,Suspension Issues,Car swaying,Replace shock absorbers,$846,Hard
Honda,Civic,2015,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Inspect brake system,$205,Medium
Audi,A4,2021,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$276,Easy
Hyundai,Sonata,2011,Tire Issues,"Car vibration, Low tire pressure",Replace tires,$252,Easy
Nissan,Patrol,2010,Tire Issues,Uneven tire wear,Replace tires,$174,Easy
Audi,A4,2016,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$1060,Hard
Chevrolet,Camaro,2022,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Fix the leak,$221,Medium
Audi,A4,2015,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$158,Medium
Mercedes,C-Class,2013,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Fix the leak,$212,Medium
Ford,F-150,2016,Cooling System Issues,"Coolant leakage, Burning smell",Replace water pump,$333,Medium
Nissan,Patrol,2009,Tire Issues,"Low tire pressure, Uneven tire wear",Replace tires,$280,Easy
BMW,X5,2016,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Replace fuses,$354,Medium
Nissan,Patrol,2019,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Charge the battery,$182,Easy
Nissan,Patrol,2006,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$200,Easy
Audi,A4,2017,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$124,Easy
Ford,F-150,2019,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$231,Easy
Ford,F-150,2016,Tire Issues,"Low tire pressure, Car vibration",Balance tires,$188,Easy
Hyundai,Sonata,2018,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Replace gaskets,$355,Medium
Chevrolet,Camaro,2015,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$165,Easy
Ford,F-150,2009,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$540,Hard
Audi,A4,2015,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$444,Hard
Kia,Sportage,2014,Dead Battery,Car won't start,Replace the battery,$160,Easy
Nissan,Patrol,2021,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Replace water pump,$402,Medium
Hyundai,Sonata,2022,Cooling System Issues,"Coolant leakage, Engine overheating",Inspect cooling system,$395,Medium
Hyundai,Sonata,2019,Tire Issues,"Uneven tire wear, Low tire pressure, Car vibration",Replace tires,$109,Easy
Ford,F-150,2022,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Balance tires,$195,Easy
Nissan,Patrol,2007,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Replace water pump,$487,Medium
Kia,Sportage,2016,Exhaust System Issues,"Black smoke emission, Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$848,Hard
Audi,A4,2010,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Replace the battery,$61,Easy
Hyundai,Sonata,2012,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$308,Medium
Chevrolet,Camaro,2010,Cooling System Issues,"Burning smell, Engine overheating",Inspect cooling system,$514,Medium
Mercedes,C-Class,2019,Engine Oil Leak,"Oil spots under the car, Burning smell",Fix the leak,$279,Medium
Chevrolet,Camaro,2017,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$271,Medium
Hyundai,Sonata,2019,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$181,Easy
Ford,F-150,2013,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$663,Hard
Audi,A4,2022,Electrical System Issues,Failure to turn on lights,Replace fuses,$242,Medium
Mercedes,C-Class,2018,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$280,Medium
Audi,A4,2019,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$157,Easy
BMW,X5,2016,Dead Battery,Car won't start,Replace the battery,$117,Easy
Honda,Civic,2012,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$842,Hard
Hyundai,Sonata,2012,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$107,Easy
BMW,X5,2011,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$703,Hard
Ford,F-150,2014,Engine Oil Leak,Low oil level,Fix the leak,$425,Medium
Kia,Sportage,2016,Engine Oil Leak,Low oil level,Fix the leak,$472,Medium
Hyundai,Sonata,2017,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Replace brake pads,$367,Medium
Toyota,Corolla,2022,Tire Issues,"Uneven tire wear, Low tire pressure",Replace tires,$213,Easy
BMW,X5,2020,Cooling System Issues,Engine overheating,Inspect cooling system,$503,Medium
Toyota,Corolla,2021,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$111,Easy
Audi,A4,2014,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$498,Hard
Audi,A4,2013,Dead Battery,"Dim lights, Car won't start",Replace the battery,$191,Easy
BMW,X5,2018,Suspension Issues,"Squeaking noise from underneath, Car swaying, Car vibration over bumps",Replace shock absorbers,$825,Hard
Toyota,Corolla,2016,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$398,Medium
BMW,X5,2015,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$498,Medium
Ford,F-150,2012,Electrical System Issues,Warning light on dashboard,Replace fuses,$249,Medium
Mercedes,C-Class,2010,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$250,Medium
Nissan,Patrol,2011,Brake Issues,Increased stopping distance,Inspect brake system,$174,Medium
Chevrolet,Camaro,2020,Engine Oil Leak,"Oil spots under the car, Low oil level",Fix the leak,$219,Medium
Mercedes,C-Class,2016,Cooling System Issues,"Burning smell, Engine overheating",Inspect cooling system,$551,Medium
Kia,Sportage,2011,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$196,Easy
Nissan,Patrol,2014,Electrical System Issues,Warning light on dashboard,Replace fuses,$207,Medium
Nissan,Patrol,2013,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$658,Medium
Audi,A4,2018,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$108,Medium
BMW,X5,2011,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$198,Easy
Ford,F-150,2014,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$224,Medium
Kia,Sportage,2019,Tire Issues,Car vibration,Balance tires,$64,Easy
Audi,A4,2021,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$378,Medium
Mercedes,C-Class,2022,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$474,Hard
Mercedes,C-Class,2023,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$561,Hard
Mercedes,C-Class,2021,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$689,Hard
Honda,Civic,2020,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Fix the leak,$421,Medium
Nissan,Patrol,2014,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$650,Hard
Nissan,Patrol,2000,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$884,Hard
Chevrolet,Camaro,2015,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Replace tires,$146,Easy
Mercedes,C-Class,2012,Dead Battery,Weak sound when starting,Replace the battery,$141,Easy
Honda,Civic,2015,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$178,Medium
Toyota,Corolla,2021,Suspension Issues,Car vibration over bumps,Inspect suspension system,$708,Hard
Chevrolet,Camaro,2023,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$183,Medium
Toyota,Corolla,2020,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$984,Hard
Kia,Sportage,2012,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$105,Medium
BMW,X5,2011,Cooling System Issues,"Coolant leakage, Engine overheating",Inspect cooling system,$530,Medium
Mercedes,C-Class,2013,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Inspect exhaust system,$505,Hard
Audi,A4,2021,Suspension Issues,"Car swaying, Car vibration over bumps",Replace shock absorbers,$555,Hard
Hyundai,Sonata,2010,Suspension Issues,Car swaying,Replace shock absorbers,$570,Hard
Toyota,Corolla,2021,Dead Battery,Car won't start,Charge the battery,$141,Easy
Chevrolet,Camaro,2022,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Charge the battery,$99,Easy
Hyundai,Sonata,2021,Tire Issues,Low tire pressure,Balance tires,$261,Easy
Audi,A4,2014,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$168,Medium
Toyota,Corolla,2023,Engine Oil Leak,"Burning smell, Low oil level",Fix the leak,$429,Medium
Kia,Sportage,2021,Brake Issues,"Steering wheel vibration, Squeaking when braking, Increased stopping distance",Inspect brake system,$160,Medium
Chevrolet,Camaro,2014,Tire Issues,Low tire pressure,Balance tires,$76,Easy
Mercedes,C-Class,2023,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$56,Easy
Mercedes,C-Class,2022,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$164,Medium
Ford,F-150,2018,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$646,Hard
Honda,Civic,2015,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$264,Medium
Nissan,Patrol,2013,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$1176,Hard
Nissan,Patrol,2016,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Replace fuses,$150,Medium
Nissan,Patrol,2003,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$1079,Hard
Nissan,Patrol,2013,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Charge the battery,$185,Easy
Ford,F-150,2010,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$181,Medium
BMW,X5,2015,Tire Issues,"Low tire pressure, Car vibration",Replace tires,$285,Easy
Hyundai,Sonata,2022,Brake Issues,"Squeaking when braking, Steering wheel vibration",Replace brake pads,$163,Medium
Toyota,Corolla,2019,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Replace fuses,$211,Medium
Nissan,Patrol,2023,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$420,Medium
Hyundai,Sonata,2022,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$232,Medium
Nissan,Patrol,2002,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$104,Medium
Toyota,Corolla,2017,Brake Issues,Steering wheel vibration,Inspect brake system,$334,Medium
Chevrolet,Camaro,2018,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$620,Hard
Honda,Civic,2023,Dead Battery,Weak sound when starting,Replace the battery,$187,Easy
Ford,F-150,2013,Tire Issues,"Uneven tire wear, Low tire pressure, Car vibration",Balance tires,$139,Easy
Chevrolet,Camaro,2023,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Replace fuses,$333,Medium
Mercedes,C-Class,2010,Cooling System Issues,"Burning smell, Coolant leakage",Replace water pump,$572,Medium
Kia,Sportage,2022,Electrical System Issues,Failure to turn on lights,Replace fuses,$109,Medium
Toyota,Corolla,2018,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$138,Easy
Kia,Sportage,2019,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$1059,Hard
Mercedes,C-Class,2012,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Replace catalytic converter,$536,Hard
BMW,X5,2015,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Fix the leak,$253,Medium
Toyota,Corolla,2022,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Replace gaskets,$510,Medium
Kia,Sportage,2021,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Replace fuses,$161,Medium
Kia,Sportage,2015,Dead Battery,Car won't start,Charge the battery,$63,Easy
Nissan,Patrol,2012,Engine Oil Leak,Low oil level,Replace gaskets,$409,Medium
Ford,F-150,2020,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Replace brake pads,$167,Medium
Honda,Civic,2020,Suspension Issues,"Car vibration over bumps, Car swaying",Inspect suspension system,$719,Hard
Kia,Sportage,2010,Brake Issues,Squeaking when braking,Replace brake pads,$258,Medium
Hyundai,Sonata,2014,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$348,Medium
Honda,Civic,2019,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Balance tires,$186,Easy
Toyota,Corolla,2023,Cooling System Issues,"Burning smell, Coolant leakage",Inspect cooling system,$352,Medium
Honda,Civic,2022,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$384,Medium
Ford,F-150,2016,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$287,Easy
Toyota,Corolla,2015,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Inspect cooling system,$516,Medium
BMW,X5,2013,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$476,Hard
Nissan,Patrol,2002,Suspension Issues,"Car vibration over bumps, Car swaying",Inspect suspension system,$656,Hard
BMW,X5,2018,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$812,Hard
Honda,Civic,2015,Engine Oil Leak,"Oil spots under the car, Low oil level",Fix the leak,$490,Medium
Chevrolet,Camaro,2020,Electrical System Issues,Failure to turn on lights,Replace fuses,$376,Medium
Audi,A4,2016,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$113,Easy
Mercedes,C-Class,2021,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$502,Hard
Honda,Civic,2018,Tire Issues,"Low tire pressure, Car vibration",Balance tires,$137,Easy
BMW,X5,2017,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Replace fuses,$465,Medium
Audi,A4,2018,Tire Issues,Uneven tire wear,Balance tires,$67,Easy
Ford,F-150,2014,Suspension Issues,"Car swaying, Squeaking noise from underneath",Replace shock absorbers,$992,Hard
BMW,X5,2020,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$608,Hard
Audi,A4,2012,Dead Battery,Dim lights,Charge the battery,$190,Easy
Audi,A4,2011,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$127,Medium
Honda,Civic,2019,Tire Issues,"Uneven tire wear, Car vibration, Low tire pressure",Replace tires,$143,Easy
Audi,A4,2011,Engine Oil Leak,Burning smell,Replace gaskets,$308,Medium
Toyota,Corolla,2020,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$443,Medium
Ford,F-150,2022,Tire Issues,"Uneven tire wear, Car vibration, Low tire pressure",Balance tires,$124,Easy
Honda,Civic,2010,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Inspect suspension system,$894,Hard
Kia,Sportage,2011,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$215,Medium
Toyota,Corolla,2020,Engine Oil Leak,Burning smell,Replace gaskets,$407,Medium
Hyundai,Sonata,2013,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$445,Medium
Chevrolet,Camaro,2013,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$561,Medium
Hyundai,Sonata,2012,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$805,Hard
Toyota,Corolla,2017,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Charge the battery,$122,Easy
Mercedes,C-Class,2019,Engine Oil Leak,Oil spots under the car,Fix the leak,$404,Medium
Ford,F-150,2005,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$234,Easy
Ford,F-150,2010,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$1188,Hard
Ford,F-150,2009,Tire Issues,Car vibration,Replace tires,$209,Easy
Ford,F-150,2018,Brake Issues,"Steering wheel vibration, Increased stopping distance",Inspect brake system,$323,Medium
Toyota,Corolla,2015,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Replace shock absorbers,$847,Hard
Nissan,Patrol,2012,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Replace fuses,$102,Medium
Honda,Civic,2018,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Replace gaskets,$217,Medium
Audi,A4,2016,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Inspect cooling system,$455,Medium
Toyota,Corolla,2017,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Replace fuses,$166,Medium
Nissan,Patrol,2011,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$563,Hard
Toyota,Corolla,2018,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$366,Medium
Nissan,Patrol,2020,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$505,Hard
Nissan,Patrol,2001,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$718,Hard
Hyundai,Sonata,2015,Tire Issues,Uneven tire wear,Balance tires,$121,Easy
Toyota,Corolla,2016,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$306,Medium
Toyota,Corolla,2020,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Replace catalytic converter,$1004,Hard
BMW,X5,2016,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$392,Medium
Kia,Sportage,2013,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$105,Medium
Toyota,Corolla,2015,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$125,Easy
Kia,Sportage,2015,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$138,Easy
Chevrolet,Camaro,2021,Brake Issues,Steering wheel vibration,Replace brake pads,$214,Medium
Honda,Civic,2021,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$200,Easy
Hyundai,Sonata,2017,Cooling System Issues,"Burning smell, Engine overheating",Replace water pump,$361,Medium
Chevrolet,Camaro,2023,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$546,Hard
Nissan,Patrol,2007,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$808,Hard
Kia,Sportage,2017,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$144,Easy
Honda,Civic,2018,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$270,Easy
Kia,Sportage,2016,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$252,Medium
Mercedes,C-Class,2018,Dead Battery,"Weak sound when starting, Car won't start",Replace the battery,$128,Easy
Chevrolet,Camaro,2011,Cooling System Issues,Coolant leakage,Inspect cooling system,$720,Medium
Chevrolet,Camaro,2014,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$861,Hard
Nissan,Patrol,2015,Cooling System Issues,"Engine overheating, Burning smell",Inspect cooling system,$759,Medium
Chevrolet,Camaro,2018,Electrical System Issues,Failure to turn on lights,Replace fuses,$385,Medium
Audi,A4,2019,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$173,Medium
Toyota,Corolla,2015,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Inspect exhaust system,$724,Hard
Nissan,Patrol,2018,Tire Issues,"Uneven tire wear, Low tire pressure, Car vibration",Balance tires,$65,Easy
Chevrolet,Camaro,2017,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$733,Hard
Kia,Sportage,2012,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Replace water pump,$682,Medium
Nissan,Patrol,2015,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Replace fuses,$270,Medium
Hyundai,Sonata,2011,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$1022,Hard
Toyota,Corolla,2020,Suspension Issues,"Car swaying, Car vibration over bumps",Replace shock absorbers,$599,Hard
Nissan,Patrol,2021,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$522,Hard
Hyundai,Sonata,2021,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$327,Medium
Audi,A4,2016,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$743,Medium
BMW,X5,2020,Tire Issues,"Low tire pressure, Uneven tire wear",Replace tires,$196,Easy
Hyundai,Sonata,2021,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$144,Easy
BMW,X5,2015,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$204,Easy
Hyundai,Sonata,2016,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$588,Hard
Honda,Civic,2013,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$523,Hard
Audi,A4,2022,Engine Oil Leak,Oil spots under the car,Replace gaskets,$456,Medium
Audi,A4,2020,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$342,Medium
Mercedes,C-Class,2022,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$190,Medium
Hyundai,Sonata,2018,Brake Issues,"Steering wheel vibration, Squeaking when braking",Replace brake pads,$396,Medium
Toyota,Corolla,2022,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$250,Easy
Toyota,Corolla,2017,Suspension Issues,Car swaying,Replace shock absorbers,$966,Hard
Honda,Civic,2012,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$201,Easy
Mercedes,C-Class,2019,Brake Issues,Steering wheel vibration,Inspect brake system,$344,Medium
Audi,A4,2010,Tire Issues,"Low tire pressure, Car vibration",Balance tires,$270,Easy
Audi,A4,2019,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$1052,Hard
Hyundai,Sonata,2013,Tire Issues,Low tire pressure,Balance tires,$63,Easy
Chevrolet,Camaro,2011,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$422,Medium
Ford,F-150,2013,Cooling System Issues,Coolant leakage,Replace water pump,$780,Medium
Kia,Sportage,2019,Tire Issues,Uneven tire wear,Balance tires,$138,Easy
Chevrolet,Camaro,2010,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$206,Easy
Chevrolet,Camaro,2023,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$196,Easy
Hyundai,Sonata,2017,Brake Issues,Increased stopping distance,Inspect brake system,$165,Medium
BMW,X5,2010,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$224,Medium
Audi,A4,2021,Engine Oil Leak,"Low oil level, Burning smell",Fix the leak,$538,Medium
Chevrolet,Camaro,2012,Cooling System Issues,"Burning smell, Coolant leakage",Replace water pump,$659,Medium
Mercedes,C-Class,2010,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Replace fuses,$374,Medium
Nissan,Patrol,2008,Electrical System Issues,Warning light on dashboard,Replace fuses,$350,Medium
Ford,F-150,2007,Cooling System Issues,"Coolant leakage, Engine overheating, Burning smell",Replace water pump,$653,Medium
Hyundai,Sonata,2020,Brake Issues,"Squeaking when braking, Steering wheel vibration, Increased stopping distance",Replace brake pads,$312,Medium
Chevrolet,Camaro,2015,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Replace gaskets,$448,Medium
Audi,A4,2019,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$690,Hard
Ford,F-150,2015,Dead Battery,"Car won't start, Weak sound when starting",Charge the battery,$91,Easy
BMW,X5,2012,Cooling System Issues,Burning smell,Replace water pump,$710,Medium
Mercedes,C-Class,2014,Electrical System Issues,Warning light on dashboard,Replace fuses,$247,Medium
Honda,Civic,2021,Suspension Issues,"Car swaying, Car vibration over bumps",Inspect suspension system,$694,Hard
BMW,X5,2017,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$203,Easy
Honda,Civic,2018,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$133,Medium
Hyundai,Sonata,2011,Cooling System Issues,Engine overheating,Replace water pump,$365,Medium
Honda,Civic,2012,Cooling System Issues,Burning smell,Inspect cooling system,$401,Medium
Ford,F-150,2005,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$340,Medium
BMW,X5,2023,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Inspect suspension system,$959,Hard
Toyota,Corolla,2018,Suspension Issues,"Car swaying, Squeaking noise from underneath",Inspect suspension system,$792,Hard
Nissan,Patrol,2008,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$326,Medium
Audi,A4,2012,Dead Battery,"Weak sound when starting, Dim lights",Charge the battery,$131,Easy
BMW,X5,2011,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$292,Easy
Nissan,Patrol,2007,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$979,Hard
Mercedes,C-Class,2014,Dead Battery,Car won't start,Charge the battery,$80,Easy
Toyota,Corolla,2017,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$452,Hard
Honda,Civic,2011,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$166,Easy
Kia,Sportage,2020,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$856,Hard
Mercedes,C-Class,2023,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$215,Easy
Kia,Sportage,2012,Brake Issues,Increased stopping distance,Replace brake pads,$278,Medium
Hyundai,Sonata,2013,Brake Issues,Squeaking when braking,Inspect brake system,$350,Medium
BMW,X5,2011,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$734,Hard
Hyundai,Sonata,2021,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$187,Medium
Mercedes,C-Class,2011,Engine Oil Leak,Low oil level,Replace gaskets,$350,Medium
Ford,F-150,2015,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$150,Easy
Ford,F-150,2016,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$929,Hard
